Nombre;Tipo;Numeración;Nombre_limpio;Token0;Token1;Token2;Token3;Token4;Token5;Token6;Token7;Token8;Token9;Token10;Token11;Token12;Token13;Token14
esc.n°166 rodolfo n.carmona;esc.;n°166;rodolfo n.carmona;rodolfo;n.carmona;;;;;;;;;;;;;
esc.n°370 maestro fermin morales;esc.;n°370;maestro fermin morales;maestro;fermin;morales;;;;;;;;;;;;
esc.normal superior joaquin v.gonzalez(nivel secundario);esc.;;normal superior joaquin v.gonzalez(nivel secundario);normal;superior;joaquin;v.gonzalez(nivel;secundario);;;;;;;;;;
esc.n°028 humberto alejandro herrera robledo;esc.;n°028;humberto alejandro herrera robledo;humberto;alejandro;herrera;robledo;;;;;;;;;;;
esc.n°070 wolf schcolnik;esc.;n°070;wolf schcolnik;wolf;schcolnik;;;;;;;;;;;;;
esc.n°109 luis camilo scida;esc.;n°109;luis camilo scida;luis;camilo;scida;;;;;;;;;;;;
i.s.f.d. prof.alberto cavero;;;i.s.f.d. prof.alberto cavero;i.s.f.d.;prof.alberto;cavero;;;;;;;;;;;;
e.p.e.t. n°1 gral angel vicente peñaloza;;n°1;e.p.e.t.  gral angel vicente peñaloza;e.p.e.t.;;gral;angel;vicente;peñaloza;;;;;;;;;
esc.n°262 mercedes bustamante de dinklage;esc.;n°262;mercedes bustamante de dinklage;mercedes;bustamante;de;dinklage;;;;;;;;;;;
e.p.e.t. n°2 paula de sarmiento;;n°2;e.p.e.t.  paula de sarmiento;e.p.e.t.;;paula;de;sarmiento;;;;;;;;;;
c.e.j.a. maria duarte de peron;;;c.e.j.a. maria duarte de peron;c.e.j.a.;maria;duarte;de;peron;;;;;;;;;;
esc.n°334 maria luisa davila de larguia;esc.;n°334;maria luisa davila de larguia;maria;luisa;davila;de;larguia;;;;;;;;;;
centro educativo de jovenes y adultos;;;centro educativo de jovenes y adultos;centro;educativo;de;jovenes;y;adultos;;;;;;;;;
colegio secundario provincial enologico de nonogasta;colegio;;secundario provincial enologico de nonogasta;secundario;provincial;enologico;de;nonogasta;;;;;;;;;;
esc.n°194 bartolome mitre;esc.;n°194;bartolome mitre;bartolome;mitre;;;;;;;;;;;;;
esc.n°189 emilio alfredo hunicken;esc.;n°189;emilio alfredo hunicken;emilio;alfredo;hunicken;;;;;;;;;;;;
centro polivalente de arte prof.roberto trasobares;;;centro polivalente de arte prof.roberto trasobares;centro;polivalente;de;arte;prof.roberto;trasobares;;;;;;;;;
esc.n°123 enzo aldo cordoba;esc.;n°123;enzo aldo cordoba;enzo;aldo;cordoba;;;;;;;;;;;;
esc.n°107 juan domingo peron;esc.;n°107;juan domingo peron;juan;domingo;peron;;;;;;;;;;;;
esc.n°378 maria angelica wol;esc.;n°378;maria angelica wol;maria;angelica;wol;;;;;;;;;;;;
esc.n°372 nereo nievas;esc.;n°372;nereo nievas;nereo;nievas;;;;;;;;;;;;;
esc.n°169 universidad nacional de la plata;esc.;n°169;universidad nacional de la plata;universidad;nacional;de;la;plata;;;;;;;;;;
esc.n°001 pablo pizzurno;esc.;n°001;pablo pizzurno;pablo;pizzurno;;;;;;;;;;;;;
esc.n°106 maria de las mercedes lautre de silvano;esc.;n°106;maria de las mercedes lautre de silvano;maria;de;las;mercedes;lautre;de;silvano;;;;;;;;
esc.n°029 provincia de mendoza;esc.;n°029;provincia de mendoza;provincia;de;mendoza;;;;;;;;;;;;
esc.n°179 alejandro de la vega;esc.;n°179;alejandro de la vega;alejandro;de;la;vega;;;;;;;;;;;
esc.n°008 provincia de formosa;esc.;n°008;provincia de formosa;provincia;de;formosa;;;;;;;;;;;;
colegio provincial agrotecnico pte.carlos saul menem;colegio;;provincial agrotecnico pte.carlos saul menem;provincial;agrotecnico;pte.carlos;saul;menem;;;;;;;;;;
centro educativo para jovenes y adultos(ex bachillerato);;;centro educativo para jovenes y adultos(ex bachillerato);centro;educativo;para;jovenes;y;adultos(ex;bachillerato);;;;;;;;
esc.n°072 domingo faustino sarmiento;esc.;n°072;domingo faustino sarmiento;domingo;faustino;sarmiento;;;;;;;;;;;;
esc.n°301 gendarmeria nacionalj.c.;esc.;n°301;gendarmeria nacionalj.c.;gendarmeria;nacionalj.c.;;;;;;;;;;;;;
esc.n°212 casa pintada;esc.;n°212;casa pintada;casa;pintada;;;;;;;;;;;;;
c.e.j.a. centro educativo de jovenes y adultos;;;c.e.j.a. centro educativo de jovenes y adultos;c.e.j.a.;centro;educativo;de;jovenes;y;adultos;;;;;;;;
escuela especial nº002 el salvador;escuela;;especial nº002 el salvador;especial;nº002;el;salvador;;;;;;;;;;;
esc.n°349;esc.;n°349;;;;;;;;;;;;;;;;
esc.n°075 delina elizondo;esc.;n°075;delina elizondo;delina;elizondo;;;;;;;;;;;;;
esc.n°286 gdor.francisco solano gomez;esc.;n°286;gdor.francisco solano gomez;gdor.francisco;solano;gomez;;;;;;;;;;;;
esc.n°031 pablo martin leal;esc.;n°031;pablo martin leal;pablo;martin;leal;;;;;;;;;;;;
esc.n°319 maipu;esc.;n°319;maipu;maipu;;;;;;;;;;;;;;
esc.n°182 gral.san martin;esc.;n°182;gral.san martin;gral.san;martin;;;;;;;;;;;;;
esc.n°300 maestro alilo nuñez;esc.;n°300;maestro alilo nuñez;maestro;alilo;nuñez;;;;;;;;;;;;
esc.n°329;esc.;n°329;;;;;;;;;;;;;;;;
esc.n°306 20 de mayo;esc.;n°306;20 de mayo;20;de;mayo;;;;;;;;;;;;
esc.n°197 cabo princ.julio cesar fuentes;esc.;n°197;cabo princ.julio cesar fuentes;cabo;princ.julio;cesar;fuentes;;;;;;;;;;;
esc.n°217 cabo principal dario vera;esc.;n°217;cabo principal dario vera;cabo;principal;dario;vera;;;;;;;;;;;
esc.n°312 dr.jose e.colombres;esc.;n°312;dr.jose e.colombres;dr.jose;e.colombres;;;;;;;;;;;;;
esc.n°307 vicente almandos almonacid;esc.;n°307;vicente almandos almonacid;vicente;almandos;almonacid;;;;;;;;;;;;
instituto privado dr.pedro i.de castro barros;instituto;;privado dr.pedro i.de castro barros;privado;dr.pedro;i.de;castro;barros;;;;;;;;;;
instituto privado dr.pedro i.de castro barros (esc.n°153);instituto;n°153;privado dr.pedro i.de castro barros ();privado;dr.pedro;i.de;castro;barros;();;;;;;;;;
instituto privado dr.pedro i.de castro barros (esc.n°172);instituto;n°172;privado dr.pedro i.de castro barros ();privado;dr.pedro;i.de;castro;barros;();;;;;;;;;
instituto privado dr.pedro i.de castro barros (esc.n°92);instituto;n°92;privado dr.pedro i.de castro barros ();privado;dr.pedro;i.de;castro;barros;();;;;;;;;;
instituto privado dr.pedro i.de castro barros (esc.n°214);instituto;n°214;privado dr.pedro i.de castro barros ();privado;dr.pedro;i.de;castro;barros;();;;;;;;;;
esc.n°092 manuel de la cruz pizarro;esc.;n°092;manuel de la cruz pizarro;manuel;de;la;cruz;pizarro;;;;;;;;;;
esc.n°153 domingo orona;esc.;n°153;domingo orona;domingo;orona;;;;;;;;;;;;;
esc.n°154 mateo jorge gomez;esc.;n°154;mateo jorge gomez;mateo;jorge;gomez;;;;;;;;;;;;
esc.n°026;esc.;n°026;;;;;;;;;;;;;;;;
esc.n°325 fray justo santa maria de oro;esc.;n°325;fray justo santa maria de oro;fray;justo;santa;maria;de;oro;;;;;;;;;
esc.n°043;esc.;n°043;;;;;;;;;;;;;;;;
esc.n°381 antonio gonzalez balcarce;esc.;n°381;antonio gonzalez balcarce;antonio;gonzalez;balcarce;;;;;;;;;;;;
esc.n°134 maestro narciso alberto chacho leal;esc.;n°134;maestro narciso alberto chacho leal;maestro;narciso;alberto;chacho;leal;;;;;;;;;;
esc.n°048;esc.;n°048;;;;;;;;;;;;;;;;
esc.n°076 provincia de la rioja;esc.;n°076;provincia de la rioja;provincia;de;la;rioja;;;;;;;;;;;
esc.n°236;esc.;n°236;;;;;;;;;;;;;;;;
esc.n°348;esc.;n°348;;;;;;;;;;;;;;;;
esc.n°210 ramon anibal olivera;esc.;n°210;ramon anibal olivera;ramon;anibal;olivera;;;;;;;;;;;;
esc.n°147 clotilde mercado;esc.;n°147;clotilde mercado;clotilde;mercado;;;;;;;;;;;;;
esc.n°214 pedro celestino robador;esc.;n°214;pedro celestino robador;pedro;celestino;robador;;;;;;;;;;;;
esc.n°387;esc.;n°387;;;;;;;;;;;;;;;;
esc.n°077;esc.;n°077;;;;;;;;;;;;;;;;
esc.n°155 prebistero antonio conrrero;esc.;n°155;prebistero antonio conrrero;prebistero;antonio;conrrero;;;;;;;;;;;;
esc.n°022 juan facundo sotomayor;esc.;n°022;juan facundo sotomayor;juan;facundo;sotomayor;;;;;;;;;;;;
esc.n°289;esc.;n°289;;;;;;;;;;;;;;;;
esc.n°041 bernardino rivadavia;esc.;n°041;bernardino rivadavia;bernardino;rivadavia;;;;;;;;;;;;;
instituto privado pbro.luis torres molina;instituto;;privado pbro.luis torres molina;privado;pbro.luis;torres;molina;;;;;;;;;;;
escuela provincial de comercio general belgrano;escuela;;provincial de comercio general belgrano;provincial;de;comercio;general;belgrano;;;;;;;;;;
esc.tecnica n°1monseñor enrique angelelli;esc.;n°1;tecnica monseñor enrique angelelli;tecnica;monseñor;enrique;angelelli;;;;;;;;;;;
jardin de infantes n°07 alitas argentinas;jardin de infantes;n°07;alitas argentinas;alitas;argentinas;;;;;;;;;;;;;
escuela polivalente de arte padre martin horacio gomez;escuela;;polivalente de arte padre martin horacio gomez;polivalente;de;arte;padre;martin;horacio;gomez;;;;;;;;
esc.n°136 nicolasa vera luna de vera;esc.;n°136;nicolasa vera luna de vera;nicolasa;vera;luna;de;vera;;;;;;;;;;
esc.n°258 rosario vera peñaloza;esc.;n°258;rosario vera peñaloza;rosario;vera;peñaloza;;;;;;;;;;;;
esc.n°012 maestro francisco torres molina;esc.;n°012;maestro francisco torres molina;maestro;francisco;torres;molina;;;;;;;;;;;
esc.n°014 justo jose de urquiza;esc.;n°014;justo jose de urquiza;justo;jose;de;urquiza;;;;;;;;;;;
jardin de infantes n°11 28 de mayo;jardin de infantes;n°11;28 de mayo;28;de;mayo;;;;;;;;;;;;
esc.n°266 nocturnadomingo f.sarmiento;esc.;n°266;nocturnadomingo f.sarmiento;nocturnadomingo;f.sarmiento;;;;;;;;;;;;;
esc.n°170 gral.martin miguel de guemes;esc.;n°170;gral.martin miguel de guemes;gral.martin;miguel;de;guemes;;;;;;;;;;;
esc.n°345;esc.;n°345;;;;;;;;;;;;;;;;
esc.n°002 timoteo gordillo;esc.;n°002;timoteo gordillo;timoteo;gordillo;;;;;;;;;;;;;
colegio provincial gobernador guillermo iribarren;colegio;;provincial gobernador guillermo iribarren;provincial;gobernador;guillermo;iribarren;;;;;;;;;;;
instituto privado san pablo;instituto;;privado san pablo;privado;san;pablo;;;;;;;;;;;;
colegio provincial jose manuel estrada;colegio;;provincial jose manuel estrada;provincial;jose;manuel;estrada;;;;;;;;;;;
esc.n°188;esc.;n°188;;;;;;;;;;;;;;;;
esc.n°129 municipalidad de la ciudad de buenos aires;esc.;n°129;municipalidad de la ciudad de buenos aires;municipalidad;de;la;ciudad;de;buenos;aires;;;;;;;;
i.s.f.d. de sañogasta;;;i.s.f.d. de sañogasta;i.s.f.d.;de;sañogasta;;;;;;;;;;;;
i.s.f.t. de nonogasta;;;i.s.f.t. de nonogasta;i.s.f.t.;de;nonogasta;;;;;;;;;;;;
esc.n°006 sargento juan bautista cabral;esc.;n°006;sargento juan bautista cabral;sargento;juan;bautista;cabral;;;;;;;;;;;
colegio provincial de vinchina;colegio;;provincial de vinchina;provincial;de;vinchina;;;;;;;;;;;;
esc.profesional mixta;esc.;;profesional mixta;profesional;mixta;;;;;;;;;;;;;
i.s.f.d. de vinchina;;;i.s.f.d. de vinchina;i.s.f.d.;de;vinchina;;;;;;;;;;;;
esc.n°073 vicente calderonj.c.;esc.;n°073;vicente calderonj.c.;vicente;calderonj.c.;;;;;;;;;;;;;
esc.n°074 provincia santiago del estero;esc.;n°074;provincia santiago del estero;provincia;santiago;del;estero;;;;;;;;;;;
esc.n°009 hipolito irigoyen;esc.;n°009;hipolito irigoyen;hipolito;irigoyen;;;;;;;;;;;;;
i.s.f.d. prof.victor quintero en geografia;;;i.s.f.d. prof.victor quintero en geografia;i.s.f.d.;prof.victor;quintero;en;geografia;;;;;;;;;;
esc.n°110 provincia del chaco;esc.;n°110;provincia del chaco;provincia;del;chaco;;;;;;;;;;;;
esc.tecnico agropecuaria-e.m.e.t.a.;esc.;;tecnico agropecuaria-e.m.e.t.a.;tecnico;agropecuaria-e.m.e.t.a.;;;;;;;;;;;;;
esc.tecnico agropecuaria-e.m.e.t.a. (esc.n°319 maipu);esc.;n°319;tecnico agropecuaria-e.m.e.t.a. ( maipu);tecnico;agropecuaria-e.m.e.t.a.;(;maipu);;;;;;;;;;;
esc.tecnico agropecuaria-e.m.e.t.a. (esc.n°182 gral.san martin);esc.;n°182;tecnico agropecuaria-e.m.e.t.a. ( gral.san martin);tecnico;agropecuaria-e.m.e.t.a.;(;gral.san;martin);;;;;;;;;;
esc.tecnico agropecuaria-e.m.e.t.a (esc.n°300 maestro alilonuñez);esc.;n°300;tecnico agropecuaria-e.m.e.t.a ( maestro alilonuñez);tecnico;agropecuaria-e.m.e.t.a;(;maestro;alilonuñez);;;;;;;;;;
esc.tecnico agropecuaria-e.m.e.t.a (esc.n°076 provincia de la rioja);esc.;n°076;tecnico agropecuaria-e.m.e.t.a ( provincia de la rioja);tecnico;agropecuaria-e.m.e.t.a;(;provincia;de;la;rioja);;;;;;;;
esc.tecnico agropecuaria-e.m.e.t.a. (esc. n°306 20 de mayo;esc.;n°306;tecnico agropecuaria-e.m.e.t.a. (  20 de mayo;tecnico;agropecuaria-e.m.e.t.a.;(;;20;de;mayo;;;;;;;;
esc.n°151 provincia de corrientes (de jornada completa);esc.;n°151;provincia de corrientes (de jornada completa);provincia;de;corrientes;(de;jornada;completa);;;;;;;;;
i.s.f.d. prof.teresa lucrecia cavero;;;i.s.f.d. prof.teresa lucrecia cavero;i.s.f.d.;prof.teresa;lucrecia;cavero;;;;;;;;;;;
esc.n°294 jose darragueira;esc.;n°294;jose darragueira;jose;darragueira;;;;;;;;;;;;;
i.s.f.d. prof.maria estela barrera de artaza;;;i.s.f.d. prof.maria estela barrera de artaza;i.s.f.d.;prof.maria;estela;barrera;de;artaza;;;;;;;;;
esc.n°320 hipolito irigoyen;esc.;n°320;hipolito irigoyen;hipolito;irigoyen;;;;;;;;;;;;;
esc.n°344 fernando godoy;esc.;n°344;fernando godoy;fernando;godoy;;;;;;;;;;;;;
esc.n°172;esc.;n°172;;;;;;;;;;;;;;;;
esc.n°121;esc.;n°121;;;;;;;;;;;;;;;;
esc.n°228;esc.;n°228;;;;;;;;;;;;;;;;
esc.n°317 juan agustin maza;esc.;n°317;juan agustin maza;juan;agustin;maza;;;;;;;;;;;;
esc.n°150;esc.;n°150;;;;;;;;;;;;;;;;
esc.n°187 el cadillo;esc.;n°187;el cadillo;el;cadillo;;;;;;;;;;;;;
esc.n°272 vicente lopez;esc.;n°272;vicente lopez;vicente;lopez;;;;;;;;;;;;;
nucleo esc.n°205(esc.n°205,esc.n°303 y esc.n°355);esc.;n°205;nucleo (, y );nucleo;(,;y;);;;;;;;;;;;
esc.n°356 yapeyu;esc.;n°356;yapeyu;yapeyu;;;;;;;;;;;;;;
esc.n°042 santisima virgen del rosario;esc.;n°042;santisima virgen del rosario;santisima;virgen;del;rosario;;;;;;;;;;;
esc.n°046 maria mercedes couceiro;esc.;n°046;maria mercedes couceiro;maria;mercedes;couceiro;;;;;;;;;;;;
esc.n°112 delia duran de gatica;esc.;n°112;delia duran de gatica;delia;duran;de;gatica;;;;;;;;;;;
esc.n°226 manuel teófilo ibañez;esc.;n°226;manuel teófilo ibañez;manuel;teófilo;ibañez;;;;;;;;;;;;
esc.n°165 petrona rosa ibañez;esc.;n°165;petrona rosa ibañez;petrona;rosa;ibañez;;;;;;;;;;;;
esc.n°119 tte.pedro e.aramburu;esc.;n°119;tte.pedro e.aramburu;tte.pedro;e.aramburu;;;;;;;;;;;;;
esc.n°279 niñas de ayohuma;esc.;n°279;niñas de ayohuma;niñas;de;ayohuma;;;;;;;;;;;;
esc.n°078;esc.;n°078;;;;;;;;;;;;;;;;
esc.n°335;esc.;n°335;;;;;;;;;;;;;;;;
esc.n°368 angela del rosario diaz de gordillo;esc.;n°368;angela del rosario diaz de gordillo;angela;del;rosario;diaz;de;gordillo;;;;;;;;;
esc.n°296 fray cayetano rodriguez;esc.;n°296;fray cayetano rodriguez;fray;cayetano;rodriguez;;;;;;;;;;;;
esc.n°193 juan ramon carrizo;esc.;n°193;juan ramon carrizo;juan;ramon;carrizo;;;;;;;;;;;;
esc.n°020 azucena de las mercedes bazan de aquines;esc.;n°020;azucena de las mercedes bazan de aquines;azucena;de;las;mercedes;bazan;de;aquines;;;;;;;;
esc.n°376 maria antonieta noriega de ledo;esc.;n°376;maria antonieta noriega de ledo;maria;antonieta;noriega;de;ledo;;;;;;;;;;
esc.n°366;esc.;n°366;;;;;;;;;;;;;;;;
esc.n°346 gral.angel vicente peñaloza;esc.;n°346;gral.angel vicente peñaloza;gral.angel;vicente;peñaloza;;;;;;;;;;;;
esc.n°391;esc.;n°391;;;;;;;;;;;;;;;;
esc.n°168 de jornada completa con orientacion laboral dr. alberto paredes urquiza;esc.;n°168;de jornada completa con orientacion laboral dr. alberto paredes urquiza;de;jornada;completa;con;orientacion;laboral;dr.;alberto;paredes;urquiza;;;;;
esc.n°171 san nicolas de bari;esc.;n°171;san nicolas de bari;san;nicolas;de;bari;;;;;;;;;;;
escuela n°311 doctor manuel antonio acevedo;escuela;n°311;doctor manuel antonio acevedo;doctor;manuel;antonio;acevedo;;;;;;;;;;;
esc.n°318 chacho peñaloza;esc.;n°318;chacho peñaloza;chacho;peñaloza;;;;;;;;;;;;;
esc.n°149 ing.juan melis;esc.;n°149;ing.juan melis;ing.juan;melis;;;;;;;;;;;;;
j.i.n. n°3;;n°3;j.i.n.;j.i.n.;;;;;;;;;;;;;;
j.i.n. n°3 extension 01(aguayo);;n°3;j.i.n.  extension 01(aguayo);j.i.n.;;extension;01(aguayo);;;;;;;;;;;
j.i.n. n°3 extension 02;;n°3;j.i.n.  extension 02;j.i.n.;;extension;02;;;;;;;;;;;
j.i.n. n°3 extension 03;;n°3;j.i.n.  extension 03;j.i.n.;;extension;03;;;;;;;;;;;
j.i.n. n°3 extension 04;;n°3;j.i.n.  extension 04;j.i.n.;;extension;04;;;;;;;;;;;
j.i.n. n°3 extension 05;;n°3;j.i.n.  extension 05;j.i.n.;;extension;05;;;;;;;;;;;
j.i.n. nº3 extension 06;;;j.i.n. nº3 extension 06;j.i.n.;nº3;extension;06;;;;;;;;;;;
j.i.n. n°3 extension 07;;n°3;j.i.n.  extension 07;j.i.n.;;extension;07;;;;;;;;;;;
j.i.n. n°3 extension 08;;n°3;j.i.n.  extension 08;j.i.n.;;extension;08;;;;;;;;;;;
j.i.n. n°3 extension 09;;n°3;j.i.n.  extension 09;j.i.n.;;extension;09;;;;;;;;;;;
esc.n°357;esc.;n°357;;;;;;;;;;;;;;;;
esc.n°374;esc.;n°374;;;;;;;;;;;;;;;;
esc.n°148 francisca ceballos de azcurra;esc.;n°148;francisca ceballos de azcurra;francisca;ceballos;de;azcurra;;;;;;;;;;;
esc.n°116 hortencia olivera de mercado;esc.;n°116;hortencia olivera de mercado;hortencia;olivera;de;mercado;;;;;;;;;;;
esc.n°229;esc.;n°229;;;;;;;;;;;;;;;;
esc.n°283 damas mendocinas;esc.;n°283;damas mendocinas;damas;mendocinas;;;;;;;;;;;;;
esc.n°094 eduardo de la fuente;esc.;n°094;eduardo de la fuente;eduardo;de;la;fuente;;;;;;;;;;;
esc.n°390;esc.;n°390;;;;;;;;;;;;;;;;
esc.n°216;esc.;n°216;;;;;;;;;;;;;;;;
esc.n°213;esc.;n°213;;;;;;;;;;;;;;;;
esc.n°096 17 de agosto de 1850;esc.;n°096;17 de agosto de 1850;17;de;agosto;de;1850;;;;;;;;;;
esc.agrotecnica virgen de la merced;esc.;;agrotecnica virgen de la merced;agrotecnica;virgen;de;la;merced;;;;;;;;;;
esc.agrotecnica virgen de la merced (esc.n°094 e.de la fuente);esc.;n°094;agrotecnica virgen de la merced ( e.de la fuente);agrotecnica;virgen;de;la;merced;(;e.de;la;fuente);;;;;;
esc.agrotecnica virgen de la merced (esc.n°226 manuel t. ibañez);esc.;n°226;agrotecnica virgen de la merced ( manuel t. ibañez);agrotecnica;virgen;de;la;merced;(;manuel;t.;ibañez);;;;;;
esc.agrotecnica virgen de la merced (esc.n°148 f.c.de azcurra);esc.;n°148;agrotecnica virgen de la merced ( f.c.de azcurra);agrotecnica;virgen;de;la;merced;(;f.c.de;azcurra);;;;;;;
esc.n°180 elva angela aguilar de aguilar;esc.;n°180;elva angela aguilar de aguilar;elva;angela;aguilar;de;aguilar;;;;;;;;;;
esc.n°099 maestro angel manuel granillo;esc.;n°099;maestro angel manuel granillo;maestro;angel;manuel;granillo;;;;;;;;;;;
esc.n°097 nelly cabral de aguilar;esc.;n°097;nelly cabral de aguilar;nelly;cabral;de;aguilar;;;;;;;;;;;
esc.n°173;esc.;n°173;;;;;;;;;;;;;;;;
esc.n°098;esc.;n°098;;;;;;;;;;;;;;;;
esc.n°115 maria teresita azcurra;esc.;n°115;maria teresita azcurra;maria;teresita;azcurra;;;;;;;;;;;;
esc.n°227;esc.;n°227;;;;;;;;;;;;;;;;
esc.n°131;esc.;n°131;;;;;;;;;;;;;;;;
esc.n°163 maria mercedes achaval de godoy;esc.;n°163;maria mercedes achaval de godoy;maria;mercedes;achaval;de;godoy;;;;;;;;;;
esc.n°016 juan ramirez de velasco;esc.;n°016;juan ramirez de velasco;juan;ramirez;de;velasco;;;;;;;;;;;
esc.n°184;esc.;n°184;;;;;;;;;;;;;;;;
esc.n°120 maestra de la patria;esc.;n°120;maestra de la patria;maestra;de;la;patria;;;;;;;;;;;
esc.n°090;esc.;n°090;;;;;;;;;;;;;;;;
esc.n°315 dr.teodoro sanchez de bustamante;esc.;n°315;dr.teodoro sanchez de bustamante;dr.teodoro;sanchez;de;bustamante;;;;;;;;;;;
esc.n°388;esc.;n°388;;;;;;;;;;;;;;;;
esc.n°310 dr.esteban a.gascon;esc.;n°310;dr.esteban a.gascon;dr.esteban;a.gascon;;;;;;;;;;;;;
esc.n°105 anfiloquia velardez de gomez;esc.;n°105;anfiloquia velardez de gomez;anfiloquia;velardez;de;gomez;;;;;;;;;;;
jardin de infantes n°08 jean piaget;jardin de infantes;n°08;jean piaget;jean;piaget;;;;;;;;;;;;;
jardín de infantes n°8 jean piaget extensión n°1;;n°8;jardín de infantes  jean piaget extensión;jardín;de;infantes;;jean;piaget;extensión;;;;;;;;
esc.n°161 dr.francisco baigorri;esc.;n°161;dr.francisco baigorri;dr.francisco;baigorri;;;;;;;;;;;;;
esc.n°384;esc.;n°384;;;;;;;;;;;;;;;;
escuela especial n°005 roberto saul;escuela;n°005;especial  roberto saul;especial;;roberto;saul;;;;;;;;;;;
j.i.n. n°5;;n°5;j.i.n.;j.i.n.;;;;;;;;;;;;;;
j.i.n. n°5 extension 01;;n°5;j.i.n.  extension 01;j.i.n.;;extension;01;;;;;;;;;;;
j.i.n. n°5 extension 02;;n°5;j.i.n.  extension 02;j.i.n.;;extension;02;;;;;;;;;;;
j.i.n. n°5 extension 03;;n°5;j.i.n.  extension 03;j.i.n.;;extension;03;;;;;;;;;;;
j.i.n. n°5 extension 04;;n°5;j.i.n.  extension 04;j.i.n.;;extension;04;;;;;;;;;;;
j.i.n. n°5 extension 05;;n°5;j.i.n.  extension 05;j.i.n.;;extension;05;;;;;;;;;;;
i.s.f.t. en salud rural;;;i.s.f.t. en salud rural;i.s.f.t.;en;salud;rural;;;;;;;;;;;
i.s.f.t. brigadier juan f.quiroga;;;i.s.f.t. brigadier juan f.quiroga;i.s.f.t.;brigadier;juan;f.quiroga;;;;;;;;;;;
i.s.f.d. en lengua e historia;;;i.s.f.d. en lengua e historia;i.s.f.d.;en;lengua;e;historia;;;;;;;;;;
colegio secundario ariel ramirez(esc.de enseñanza artist.);colegio;;secundario ariel ramirez(de enseñanza artist.);secundario;ariel;ramirez(de;enseñanza;artist.);;;;;;;;;;
esc.n°223;esc.;n°223;;;;;;;;;;;;;;;;
esc.n°222 heriberto gonzalez;esc.;n°222;heriberto gonzalez;heriberto;gonzalez;;;;;;;;;;;;;
esc.n°087 sergio simeon rosa sosa;esc.;n°087;sergio simeon rosa sosa;sergio;simeon;rosa;sosa;;;;;;;;;;;
esc.n°102;esc.;n°102;;;;;;;;;;;;;;;;
esc.n°360;esc.;n°360;;;;;;;;;;;;;;;;
esc.n°234;esc.;n°234;;;;;;;;;;;;;;;;
c.e.j.a. centro educativo de jov.y adulto juan simon flores;;;c.e.j.a. centro educativo de jov.y adulto juan simon flores;c.e.j.a.;centro;educativo;de;jov.y;adulto;juan;simon;flores;;;;;;
esc.n°100;esc.;n°100;;;;;;;;;;;;;;;;
esc.n°093;esc.;n°093;;;;;;;;;;;;;;;;
esc.n°220;esc.;n°220;;;;;;;;;;;;;;;;
i.s.f.t. en produccion agropecuaria;;;i.s.f.t. en produccion agropecuaria;i.s.f.t.;en;produccion;agropecuaria;;;;;;;;;;;
c.e.j.a. centro educativo de jov.y adultos (ex.bachillerato p/ad);;;c.e.j.a. centro educativo de jov.y adultos (ex.bachillerato p/ad);c.e.j.a.;centro;educativo;de;jov.y;adultos;(ex.bachillerato;p/ad);;;;;;;
colegio provincial de catuna;colegio;;provincial de catuna;provincial;de;catuna;;;;;;;;;;;;
colegio provincial de catuna (esc.n°130);colegio;n°130;provincial de catuna ();provincial;de;catuna;();;;;;;;;;;;
esc.n°111;esc.;n°111;;;;;;;;;;;;;;;;
esc.n°101 rosendo romero;esc.;n°101;rosendo romero;rosendo;romero;;;;;;;;;;;;;
esc.n°156 directora vitalia b.de llanos j.c.;esc.;n°156;directora vitalia b.de llanos j.c.;directora;vitalia;b.de;llanos;j.c.;;;;;;;;;;
esc.n°152;esc.;n°152;;;;;;;;;;;;;;;;
esc.n°196;esc.;n°196;;;;;;;;;;;;;;;;
esc.n°133;esc.;n°133;;;;;;;;;;;;;;;;
colegio provincial de ambil;colegio;;provincial de ambil;provincial;de;ambil;;;;;;;;;;;;
colegio provincial de ambil (esc.n°101 rosendo romero);colegio;n°101;provincial de ambil ( rosendo romero);provincial;de;ambil;(;rosendo;romero);;;;;;;;;
esc.n°385;esc.;n°385;;;;;;;;;;;;;;;;
esc.n°013 rosario vera peñaloza;esc.;n°013;rosario vera peñaloza;rosario;vera;peñaloza;;;;;;;;;;;;
esc.n°273 almirante guillermo brown;esc.;n°273;almirante guillermo brown;almirante;guillermo;brown;;;;;;;;;;;;
esc.n°211 maestro ramon eulogio bazan;esc.;n°211;maestro ramon eulogio bazan;maestro;ramon;eulogio;bazan;;;;;;;;;;;
esc.n°130;esc.;n°130;;;;;;;;;;;;;;;;
esc.n°086;esc.;n°086;;;;;;;;;;;;;;;;
jardin de infantes n°09 gabriela mistral;jardin de infantes;n°09;gabriela mistral;gabriela;mistral;;;;;;;;;;;;;
jardin de infantes n°09 gabriela mistral extension 01;jardin de infantes;n°09;gabriela mistral extension 01;gabriela;mistral;extension;01;;;;;;;;;;;
jardin de infantes n°09 gabriela mistral extension 02;jardin de infantes;n°09;gabriela mistral extension 02;gabriela;mistral;extension;02;;;;;;;;;;;
esc.n°081;esc.;n°081;;;;;;;;;;;;;;;;
esc.n°241;esc.;n°241;;;;;;;;;;;;;;;;
esc.n°158 pozo del medio;esc.;n°158;pozo del medio;pozo;del;medio;;;;;;;;;;;;
