Nombre;Token0;Token1;Token2;Token3;Token4;Token5;Token6
caps paso de san isidro;caps;paso;de;san;isidro;;
caps patquia viejo;caps;patquia;viejo;;;;
caps plaza vieja;caps;plaza;vieja;;;;
caps polco;caps;polco;;;;;
caps poman;caps;poman;;;;;
caps potrerillo de las flores;caps;potrerillo;de;las;flores;;
caps potrero;caps;potrero;;;;;
caps potrero grande;caps;potrero;grande;;;;
caps puerta de la quebrada;caps;puerta;de;la;quebrada;;
caps puerto alegre;caps;puerto;alegre;;;;
caps puerto del valle;caps;puerto;del;valle;;;
caps puluchan;caps;puluchan;;;;;
caps ramon carrillo;caps;ramon;carrillo;;;;
caps represa de la punta;caps;represa;de;la;punta;;
caps rivadavia;caps;rivadavia;;;;;
caps salana;caps;salana;;;;;
caps salicas;caps;salicas;;;;;
caps salinas de bustos;caps;salinas;de;bustos;;;
caps san antonio;caps;san;antonio;;;;
caps san antonio;caps;san;antonio;;;;
caps san bernardo;caps;san;bernardo;;;;
caps san bernardo (capital);caps;san;bernardo;(capital);;;
caps san blas de los sauces;caps;san;blas;de;los;sauces;
caps san francisco;caps;san;francisco;;;;
caps san hector valdivielso;caps;san;hector;valdivielso;;;
caps san jose;caps;san;jose;;;;
caps san lorenzo;caps;san;lorenzo;;;;
caps san martin;caps;san;martin;;;;
caps san miguel;caps;san;miguel;;;;
caps san nicolas;caps;san;nicolas;;;;
caps san nicolas;caps;san;nicolas;;;;
caps san pedro;caps;san;pedro;;;;
caps san pedro;caps;san;pedro;;;;
caps san pedro;caps;san;pedro;;;;
caps san pio aimogasta;caps;san;pio;aimogasta;;;
caps san pio i;caps;san;pio;i;;;
caps san pio ii;caps;san;pio;ii;;;
caps san pio iii;caps;san;pio;iii;;;
caps san rafael;caps;san;rafael;;;;
caps san ramon;caps;san;ramon;;;;
caps san ramon;caps;san;ramon;;;;
caps san vicente;caps;san;vicente;;;;
caps santa barbara;caps;santa;barbara;;;;
caps santa clara;caps;santa;clara;;;;
caps santa cruz;caps;santa;cruz;;;;
caps santa florentina;caps;santa;florentina;;;;
caps santa lucia;caps;santa;lucia;;;;
caps santa rita de la zanja;caps;santa;rita;de;la;zanja;
caps santa vera cruz;caps;santa;vera;cruz;;;
caps santo domingo;caps;santo;domingo;;;;
caps shaqui;caps;shaqui;;;;;
caps solca;caps;solca;;;;;
caps sormani;caps;sormani;;;;;
caps suriyaco;caps;suriyaco;;;;;
caps talamuyuna estacion;caps;talamuyuna;estacion;;;;
caps talamuyuna pueblo;caps;talamuyuna;pueblo;;;;
caps talva;caps;talva;;;;;
caps tazquin;caps;tazquin;;;;;
caps termas de santa teresita;caps;termas;de;santa;teresita;;
caps tilimuqui;caps;tilimuqui;;;;;
caps tres cruces;caps;tres;cruces;;;;
caps tuani;caps;tuani;;;;;
caps tuizon;caps;tuizon;;;;;
caps tuyubil;caps;tuyubil;;;;;
caps valle hermoso;caps;valle;hermoso;;;;
caps valle hermoso;caps;valle;hermoso;;;;
caps villa casana;caps;villa;casana;;;;
caps villa nidia;caps;villa;nidia;;;;
caps virgen de la peña;caps;virgen;de;la;peña;;
caps virgen de los cerros;caps;virgen;de;los;cerros;;
caps yacampis;caps;yacampis;;;;;
caps ñoqueves;caps;ñoqueves;;;;;
caps bajo hondo;caps;bajo;hondo;;;;
caps san solano;caps;san;solano;;;;
caps antartida argentina;caps;antartida;argentina;;;;
caps la cañada;caps;la;cañada;;;;
